# h2: COVID-19
# h2: Current Situation in Hawaii
# h2: Statewide
# h2: By County
# h2: Hawaii COVID-19 Epi Curve
# h2: Hawaii COVID-19 Map
# h2: Hawaii COVID-19 Confirmed Cases by Age Group
# h2: Hawaii COVID-19 Cumulative Number of Reported Lab Tests
# h2: Hawaii COVID-19 Lab Testing by County
# h2: Hawaii COVID-19 Cases Race Compared to State Population
# thead: HAWAII COUNTY
# thead: HONOLULU COUNTY
# thead: KAUAI COUNTY
# thead: MAUI COUNTY
# thead: HI Residents diagnosed outside of HI
# thead: County Pending
|                     case |                  number |
|              Total Cases | 574 (21 newly reported) |
| Released from Isolation† |                     410 |
| Required Hospitalization |                      51 |
|                   Deaths |                       9 |
|              Total Cases | 61 total |
| Released from Isolation† |       33 |
| Required Hospitalization |        0 |
|                   Deaths |        0 |
|              Total Cases | 382 total |
| Released from Isolation† |       309 |
| Required Hospitalization |        43 |
|                   Deaths |         6 |
|              Total Cases | 21 total |
| Released from Isolation† |       16 |
| Required Hospitalization |        1 |
|                   Deaths |        0 |
|              Total Cases | 104 total |
| Released from Isolation† |        52 |
| Required Hospitalization |         7 |
|                   Deaths |         3 |
HI Residents diagnosed outside of HI   6 total
County Pending   0 total
